text,label
"You are such a failure",1
"No one wants to hear you",1
"You are completely useless",1
"Why are you even here",1
"You are a disgrace",1
"Get out nobody likes you",1
"You are so annoying",1
"You are not worth anything",1
"You are the worst person ever",1
"Everyone laughs at you",1
"You are a big joke",1
"You are so dumb",1
"You will never succeed",1
"You are a loser",1
"Stop embarrassing yourself",1
"You are disgusting",1
"Nobody cares about you",1
"You are trash",1
"Go away idiot",1
"You are worthless garbage",1
"Nobody asked for your opinion",1
"You are a waste of space",1
"You are ugly and stupid",1
"You are hopeless",1
"You are nothing",1
"You always mess things up",1
"You are so bad at this",1
"You should quit",1
"You are embarrassing",1
"You are a mistake",1
"Why are you so dumb",1
"You are the worst",1
"You are useless and annoying",1
"Everyone ignores you",1
"You are not important",1
"Nobody respects you",1
"You are pathetic and weak",1
"You are terrible",1
"You are a failure in life",1
"You are not good enough",1
"You are so irritating",1
"Nobody trusts you",1
"You are a joke",1
"You are not needed",1
"You ruin everything",1
"You are bad at everything",1
"You are not smart",1
"You are so lazy",1
"You are annoying everyone",1
"You are a disaster",1
"You are not useful",1
"You are a burden",1
"You are embarrassing yourself",1
"You are so fake",1
"You are the worst ever",1
"You are nothing special",1
"You are so negative",1
"You are unbearable",1
"You are not talented",1
"You are boring",1
"You are so weak",1
"You are not capable",1
"You are dumb and slow",1
"You are a complete idiot",1
"You are worthless and useless",1
"You suck at everything",1
"Go disappear",1
"You are so bad",1
"You are a total mess",1
"You are clueless",1
"You are so lame",1
"You are not even trying",1
"You always fail",1
"You are not smart at all",1
"You are a problem",1
"You are very irritating",1
"You are a bad person",1
"You are a waste",1
"You are very stupid",1
"You are annoying me",1
"You are not good",1
"You are terrible at this",1
"You are so awkward",1
"You are embarrassing to watch",1
"You are not helpful",1
"You are always wrong",1
"You are the worst teammate",1
"You are so careless",1
"You are a big failure",1
"You are not capable of anything",1
"You are not worth my time",1
"You are not talented at all",1
"You are very bad",1
"You are useless to everyone",1
"You are always annoying",1
"You are a disappointment",1
"You are not interesting",1
"You are very weak",1
"You are not needed here",1
"You are not serious",1
"You are a bad example",1
"You are very negative",1
"You are always late and useless",1
"You are not impressive",1
"You are not skilled",1
"You are so slow",1
"You are very dull",1
"You are not creative",1
"You are not intelligent",1
"You are a bad influence",1
"You are not responsible",1
"You are very careless",1
"You are not focused",1
"You are very poor at this",1
"You are not confident",1
"You are not hardworking",1
"You are not reliable",1
"You are not serious about anything",1
"You are not contributing anything",1
"You are not helpful at all",1
"You are not useful in any way",1
"You are not even worth talking to",1



"Keep pushing forward",0
"You are doing amazing",0
"Great job on the project",0
"I really appreciate your effort",0
"You handled it well",0
"You are improving a lot",0
"That was very helpful",0
"You are very kind",0
"Nice work today",0
"Thank you for helping me",0
"You are a good friend",0
"I respect your opinion",0
"You did your best",0
"Keep learning and growing",0
"You are very creative",0
"You explained it nicely",0
"I like your idea",0
"That was impressive",0
"You are very supportive",0
"You did great today",0
"You are very dedicated",0
"I trust your judgment",0
"You are very helpful",0
"That was a smart decision",0
"You are very talented",0
"I enjoyed working with you",0
"You are doing well",0
"You are very polite",0
"That was a good effort",0
"You are very thoughtful",0
"I appreciate your time",0
"You handled it professionally",0
"You are very positive",0
"Keep up the good work",0
"You are very responsible",0
"You are doing great",0
"That was well done",0
"You are very reliable",0
"You did a good job",0
"You are very focused",0
"You are very hardworking",0
"You are very supportive person",0
"You are very confident",0
"You are very honest",0
"You are very patient",0
"You are very motivated",0
"You are very smart",0
"You are very helpful to others",0
"You are very kind hearted",0
"You are doing your best",0
"You are learning fast",0
"You are improving every day",0
"You are very calm",0
"You are very respectful",0
"You are a great teammate",0
"You are doing fantastic",0
"You are very understanding",0
"You are very cooperative",0
"You are very friendly",0
"You are very cheerful",0
"You are very inspiring",0
"You are very passionate",0
"You are doing excellent work",0
"You are a great leader",0
"You are very thoughtful person",0
"You are very organized",0
"You are very consistent",0
"You are very energetic",0
"You are very dedicated worker",0
"You are very supportive teammate",0
"You are very positive person",0
"You are very creative thinker",0
"You are very polite person",0
"You are very respectful person",0
"You are very calm person",0
"You are very kind person",0
"You are very helpful person",0
"You are very honest person",0
"You are very patient person",0
"You are very hardworking person",0
"You are very focused person",0
"You are very reliable person",0
"You are very responsible person",0
"You are very talented person",0
"You are very smart person",0
"You are very motivated person",0
"You are very inspiring person",0
"You are very cheerful person",0
"You are very friendly person",0
"You are very cooperative person",0
"You are very understanding person",0
"You are very supportive friend",0
"You are very helpful teammate",0
"You are very supportive colleague",0
"You are very positive influence",0
"You are very good at this",0
"You are doing a great job",0
"You are improving steadily",0
"You are learning quickly",0
"You are doing very well",0
"You are handling things nicely",0
"You are performing well",0
"You are doing excellent",0
"You are making good progress",0
"You are doing fantastic work",0
"You are doing outstanding work",0
"You are doing brilliant work",0
"You are doing exceptional work",0
"You are doing impressive work",0
"You are doing remarkable work",0
"You are doing great progress",0
"You are doing consistent work",0
"You are doing quality work",0
"You are doing meaningful work",0
"You are doing valuable work",0
"You are doing productive work",0
"You are doing effective work",0
"You are doing efficient work",0
"You are doing focused work",0
"You are doing dedicated work",0
